InstanceID,Run,Fitness,BestKnown
990,0,-17605.00,-70459.00
990,1,-18543.00,-70459.00
990,2,-18839.00,-70459.00
990,3,-19351.00,-70459.00
990,4,-21061.00,-70459.00
990,5,-20139.00,-70459.00
990,6,-20129.00,-70459.00
990,7,-19077.00,-70459.00
990,8,-19361.00,-70459.00
990,9,-19203.00,-70459.00
990,10,-19385.00,-70459.00
990,11,-19889.00,-70459.00
990,12,-18349.00,-70459.00
990,13,-18951.00,-70459.00
990,14,-19085.00,-70459.00
990,15,-19533.00,-70459.00
990,16,-19145.00,-70459.00
990,17,-18459.00,-70459.00
990,18,-20127.00,-70459.00
990,19,-20145.00,-70459.00
990,20,-18635.00,-70459.00
990,21,-19341.00,-70459.00
990,22,-21339.00,-70459.00
990,23,-19003.00,-70459.00
990,24,-19683.00,-70459.00
990,25,-19325.00,-70459.00
990,26,-18853.00,-70459.00
990,27,-20341.00,-70459.00
990,28,-18471.00,-70459.00
990,29,-20683.00,-70459.00
991,0,-17608.00,-102182.00
991,1,-16606.00,-102182.00
991,2,-15252.00,-102182.00
991,3,-13904.00,-102182.00
991,4,-15750.00,-102182.00
991,5,-14786.00,-102182.00
991,6,-14730.00,-102182.00
991,7,-14416.00,-102182.00
991,8,-15362.00,-102182.00
991,9,-22026.00,-102182.00
991,10,-21686.00,-102182.00
991,11,-23258.00,-102182.00
991,12,-23674.00,-102182.00
991,13,-23146.00,-102182.00
991,14,-22952.00,-102182.00
991,15,-23928.00,-102182.00
991,16,-21970.00,-102182.00
991,17,-22316.00,-102182.00
991,18,-22706.00,-102182.00
991,19,-22280.00,-102182.00
991,20,-21866.00,-102182.00
991,21,-23088.00,-102182.00
991,22,-23000.00,-102182.00
991,23,-21626.00,-102182.00
991,24,-24718.00,-102182.00
991,25,-23540.00,-102182.00
991,26,-22560.00,-102182.00
991,27,-22954.00,-102182.00
991,28,-22922.00,-102182.00
991,29,-21622.00,-102182.00
992,0,-17633.00,-112475.00
992,1,-17259.00,-112475.00
992,2,-17967.00,-112475.00
992,3,-16765.00,-112475.00
992,4,-18871.00,-112475.00
992,5,-16691.00,-112475.00
992,6,-16599.00,-112475.00
992,7,-19749.00,-112475.00
992,8,-19587.00,-112475.00
992,9,-22171.00,-112475.00
992,10,-19507.00,-112475.00
992,11,-21223.00,-112475.00
992,12,-19717.00,-112475.00
992,13,-21535.00,-112475.00
992,14,-22543.00,-112475.00
992,15,-21307.00,-112475.00
992,16,-20721.00,-112475.00
992,17,-21687.00,-112475.00
992,18,-22069.00,-112475.00
992,19,-20901.00,-112475.00
992,20,-21391.00,-112475.00
992,21,-22727.00,-112475.00
992,22,-21709.00,-112475.00
992,23,-21061.00,-112475.00
992,24,-19671.00,-112475.00
992,25,-22523.00,-112475.00
992,26,-22187.00,-112475.00
992,27,-19769.00,-112475.00
992,28,-22489.00,-112475.00
992,29,-20287.00,-112475.00
993,0,-12996.00,-96038.00
993,1,-13112.00,-96038.00
993,2,-13128.00,-96038.00
993,3,-12690.00,-96038.00
993,4,-13130.00,-96038.00
993,5,-13208.00,-96038.00
993,6,-14444.00,-96038.00
993,7,-20454.00,-96038.00
993,8,-18844.00,-96038.00
993,9,-19798.00,-96038.00
993,10,-19644.00,-96038.00
993,11,-18654.00,-96038.00
993,12,-18932.00,-96038.00
993,13,-17902.00,-96038.00
993,14,-20942.00,-96038.00
993,15,-18866.00,-96038.00
993,16,-19948.00,-96038.00
993,17,-20204.00,-96038.00
993,18,-18536.00,-96038.00
993,19,-18536.00,-96038.00
993,20,-19158.00,-96038.00
993,21,-20212.00,-96038.00
993,22,-19472.00,-96038.00
993,23,-18718.00,-96038.00
993,24,-18584.00,-96038.00
993,25,-19632.00,-96038.00
993,26,-19278.00,-96038.00
993,27,-18822.00,-96038.00
993,28,-18134.00,-96038.00
993,29,-19770.00,-96038.00
994,0,-10764.00,-41790.00
994,1,-10620.00,-41790.00
994,2,-10560.00,-41790.00
994,3,-10684.00,-41790.00
994,4,-10272.00,-41790.00
994,5,-10910.00,-41790.00
994,6,-11420.00,-41790.00
994,7,-13488.00,-41790.00
994,8,-13252.00,-41790.00
994,9,-12870.00,-41790.00
994,10,-13398.00,-41790.00
994,11,-13576.00,-41790.00
994,12,-13128.00,-41790.00
994,13,-13604.00,-41790.00
994,14,-13134.00,-41790.00
994,15,-12662.00,-41790.00
994,16,-13514.00,-41790.00
994,17,-12668.00,-41790.00
994,18,-13130.00,-41790.00
994,19,-13142.00,-41790.00
994,20,-13118.00,-41790.00
994,21,-13494.00,-41790.00
994,22,-13108.00,-41790.00
994,23,-12784.00,-41790.00
994,24,-14318.00,-41790.00
994,25,-13680.00,-41790.00
994,26,-13506.00,-41790.00
994,27,-14070.00,-41790.00
994,28,-13142.00,-41790.00
994,29,-13040.00,-41790.00
995,0,-16241.00,-72707.00
995,1,-15889.00,-72707.00
995,2,-17541.00,-72707.00
995,3,-17679.00,-72707.00
995,4,-18337.00,-72707.00
995,5,-21041.00,-72707.00
995,6,-20149.00,-72707.00
995,7,-19741.00,-72707.00
995,8,-20915.00,-72707.00
995,9,-20421.00,-72707.00
995,10,-20767.00,-72707.00
995,11,-21081.00,-72707.00
995,12,-20837.00,-72707.00
995,13,-22835.00,-72707.00
995,14,-21323.00,-72707.00
995,15,-21473.00,-72707.00
995,16,-21223.00,-72707.00
995,17,-21693.00,-72707.00
995,18,-21267.00,-72707.00
995,19,-19665.00,-72707.00
995,20,-20455.00,-72707.00
995,21,-20139.00,-72707.00
995,22,-20777.00,-72707.00
995,23,-20241.00,-72707.00
995,24,-20415.00,-72707.00
995,25,-20375.00,-72707.00
995,26,-22735.00,-72707.00
995,27,-20259.00,-72707.00
995,28,-22491.00,-72707.00
995,29,-21051.00,-72707.00
996,0,-16717.00,-115145.00
996,1,-15831.00,-115145.00
996,2,-14629.00,-115145.00
996,3,-23175.00,-115145.00
996,4,-23757.00,-115145.00
996,5,-21939.00,-115145.00
996,6,-22095.00,-115145.00
996,7,-22511.00,-115145.00
996,8,-21969.00,-115145.00
996,9,-22503.00,-115145.00
996,10,-21841.00,-115145.00
996,11,-22409.00,-115145.00
996,12,-21175.00,-115145.00
996,13,-22747.00,-115145.00
996,14,-21499.00,-115145.00
996,15,-22863.00,-115145.00
996,16,-22295.00,-115145.00
996,17,-21927.00,-115145.00
996,18,-22355.00,-115145.00
996,19,-23589.00,-115145.00
996,20,-22621.00,-115145.00
996,21,-22569.00,-115145.00
996,22,-23191.00,-115145.00
996,23,-22943.00,-115145.00
996,24,-22113.00,-115145.00
996,25,-22375.00,-115145.00
996,26,-23597.00,-115145.00
996,27,-21839.00,-115145.00
996,28,-23071.00,-115145.00
996,29,-23855.00,-115145.00
997,0,-26262.00,-187096.00
997,1,-24126.00,-187096.00
997,2,-26248.00,-187096.00
997,3,-24650.00,-187096.00
997,4,-27222.00,-187096.00
997,5,-28376.00,-187096.00
997,6,-28824.00,-187096.00
997,7,-27416.00,-187096.00
997,8,-25230.00,-187096.00
997,9,-27968.00,-187096.00
997,10,-30532.00,-187096.00
997,11,-25804.00,-187096.00
997,12,-28032.00,-187096.00
997,13,-26910.00,-187096.00
997,14,-26746.00,-187096.00
997,15,-24422.00,-187096.00
997,16,-23996.00,-187096.00
997,17,-28176.00,-187096.00
997,18,-28142.00,-187096.00
997,19,-27530.00,-187096.00
997,20,-27038.00,-187096.00
997,21,-24996.00,-187096.00
997,22,-26710.00,-187096.00
997,23,-25410.00,-187096.00
997,24,-25416.00,-187096.00
997,25,-27804.00,-187096.00
997,26,-26256.00,-187096.00
997,27,-23646.00,-187096.00
997,28,-26448.00,-187096.00
997,29,-25280.00,-187096.00
998,0,-21146.00,-87290.00
998,1,-24782.00,-87290.00
998,2,-27694.00,-87290.00
998,3,-26620.00,-87290.00
998,4,-27886.00,-87290.00
998,5,-26486.00,-87290.00
998,6,-26878.00,-87290.00
998,7,-27284.00,-87290.00
998,8,-27104.00,-87290.00
998,9,-27374.00,-87290.00
998,10,-26834.00,-87290.00
998,11,-27994.00,-87290.00
998,12,-29900.00,-87290.00
998,13,-27038.00,-87290.00
998,14,-28136.00,-87290.00
998,15,-28894.00,-87290.00
998,16,-27914.00,-87290.00
998,17,-28816.00,-87290.00
998,18,-28196.00,-87290.00
998,19,-26494.00,-87290.00
998,20,-27190.00,-87290.00
998,21,-26642.00,-87290.00
998,22,-28804.00,-87290.00
998,23,-29308.00,-87290.00
998,24,-25232.00,-87290.00
998,25,-26494.00,-87290.00
998,26,-27624.00,-87290.00
998,27,-27910.00,-87290.00
998,28,-26598.00,-87290.00
998,29,-27412.00,-87290.00
999,0,-12677.00,-101785.00
999,1,-13855.00,-101785.00
999,2,-14345.00,-101785.00
999,3,-13521.00,-101785.00
999,4,-11759.00,-101785.00
999,5,-12293.00,-101785.00
999,6,-17897.00,-101785.00
999,7,-18953.00,-101785.00
999,8,-18591.00,-101785.00
999,9,-20241.00,-101785.00
999,10,-21457.00,-101785.00
999,11,-19141.00,-101785.00
999,12,-18543.00,-101785.00
999,13,-20283.00,-101785.00
999,14,-19115.00,-101785.00
999,15,-19783.00,-101785.00
999,16,-19639.00,-101785.00
999,17,-20157.00,-101785.00
999,18,-19479.00,-101785.00
999,19,-17837.00,-101785.00
999,20,-18145.00,-101785.00
999,21,-20413.00,-101785.00
999,22,-19181.00,-101785.00
999,23,-20109.00,-101785.00
999,24,-19161.00,-101785.00
999,25,-20305.00,-101785.00
999,26,-20065.00,-101785.00
999,27,-21493.00,-101785.00
999,28,-18605.00,-101785.00
999,29,-18369.00,-101785.00
