InstanceID,Run,Fitness,BestKnown
990,0,-66639.00,-70459.00
990,1,-66663.00,-70459.00
990,2,-65487.00,-70459.00
990,3,-67099.00,-70459.00
990,4,-66769.00,-70459.00
990,5,-67157.00,-70459.00
990,6,-66393.00,-70459.00
990,7,-67787.00,-70459.00
990,8,-66711.00,-70459.00
990,9,-66539.00,-70459.00
990,10,-65849.00,-70459.00
990,11,-67127.00,-70459.00
990,12,-66323.00,-70459.00
990,13,-67881.00,-70459.00
990,14,-67475.00,-70459.00
990,15,-66107.00,-70459.00
990,16,-67093.00,-70459.00
990,17,-67443.00,-70459.00
990,18,-66175.00,-70459.00
990,19,-66607.00,-70459.00
990,20,-65479.00,-70459.00
990,21,-66461.00,-70459.00
990,22,-66445.00,-70459.00
990,23,-65647.00,-70459.00
990,24,-66595.00,-70459.00
990,25,-65269.00,-70459.00
990,26,-67129.00,-70459.00
990,27,-67595.00,-70459.00
990,28,-66851.00,-70459.00
990,29,-65889.00,-70459.00
991,0,-92812.00,-102182.00
991,1,-94712.00,-102182.00
991,2,-93906.00,-102182.00
991,3,-91296.00,-102182.00
991,4,-94278.00,-102182.00
991,5,-95096.00,-102182.00
991,6,-91286.00,-102182.00
991,7,-94376.00,-102182.00
991,8,-95078.00,-102182.00
991,9,-91844.00,-102182.00
991,10,-94866.00,-102182.00
991,11,-93224.00,-102182.00
991,12,-92468.00,-102182.00
991,13,-93214.00,-102182.00
991,14,-95440.00,-102182.00
991,15,-91774.00,-102182.00
991,16,-96132.00,-102182.00
991,17,-95096.00,-102182.00
991,18,-96472.00,-102182.00
991,19,-93192.00,-102182.00
991,20,-93008.00,-102182.00
991,21,-95478.00,-102182.00
991,22,-93370.00,-102182.00
991,23,-91704.00,-102182.00
991,24,-91718.00,-102182.00
991,25,-94002.00,-102182.00
991,26,-93798.00,-102182.00
991,27,-92910.00,-102182.00
991,28,-93120.00,-102182.00
991,29,-95332.00,-102182.00
992,0,-104509.00,-112475.00
992,1,-104211.00,-112475.00
992,2,-105135.00,-112475.00
992,3,-103317.00,-112475.00
992,4,-105059.00,-112475.00
992,5,-105543.00,-112475.00
992,6,-104461.00,-112475.00
992,7,-105929.00,-112475.00
992,8,-103059.00,-112475.00
992,9,-106341.00,-112475.00
992,10,-104765.00,-112475.00
992,11,-103665.00,-112475.00
992,12,-105541.00,-112475.00
992,13,-104783.00,-112475.00
992,14,-101679.00,-112475.00
992,15,-105049.00,-112475.00
992,16,-105631.00,-112475.00
992,17,-104663.00,-112475.00
992,18,-103233.00,-112475.00
992,19,-104631.00,-112475.00
992,20,-106367.00,-112475.00
992,21,-103037.00,-112475.00
992,22,-105917.00,-112475.00
992,23,-104983.00,-112475.00
992,24,-104837.00,-112475.00
992,25,-103325.00,-112475.00
992,26,-104405.00,-112475.00
992,27,-105653.00,-112475.00
992,28,-103275.00,-112475.00
992,29,-104585.00,-112475.00
993,0,-89994.00,-96038.00
993,1,-90284.00,-96038.00
993,2,-89000.00,-96038.00
993,3,-88628.00,-96038.00
993,4,-90932.00,-96038.00
993,5,-89944.00,-96038.00
993,6,-88858.00,-96038.00
993,7,-88876.00,-96038.00
993,8,-89198.00,-96038.00
993,9,-90490.00,-96038.00
993,10,-90888.00,-96038.00
993,11,-90664.00,-96038.00
993,12,-91804.00,-96038.00
993,13,-91342.00,-96038.00
993,14,-90756.00,-96038.00
993,15,-88070.00,-96038.00
993,16,-91630.00,-96038.00
993,17,-88952.00,-96038.00
993,18,-89880.00,-96038.00
993,19,-90606.00,-96038.00
993,20,-90690.00,-96038.00
993,21,-89082.00,-96038.00
993,22,-89876.00,-96038.00
993,23,-89952.00,-96038.00
993,24,-90008.00,-96038.00
993,25,-89010.00,-96038.00
993,26,-90802.00,-96038.00
993,27,-90082.00,-96038.00
993,28,-90758.00,-96038.00
993,29,-90022.00,-96038.00
994,0,-39446.00,-41790.00
994,1,-40216.00,-41790.00
994,2,-39476.00,-41790.00
994,3,-40512.00,-41790.00
994,4,-40148.00,-41790.00
994,5,-39158.00,-41790.00
994,6,-39932.00,-41790.00
994,7,-39508.00,-41790.00
994,8,-39784.00,-41790.00
994,9,-40288.00,-41790.00
994,10,-39622.00,-41790.00
994,11,-39952.00,-41790.00
994,12,-39072.00,-41790.00
994,13,-40014.00,-41790.00
994,14,-40458.00,-41790.00
994,15,-39624.00,-41790.00
994,16,-39504.00,-41790.00
994,17,-40632.00,-41790.00
994,18,-39214.00,-41790.00
994,19,-39950.00,-41790.00
994,20,-39484.00,-41790.00
994,21,-39444.00,-41790.00
994,22,-39792.00,-41790.00
994,23,-39360.00,-41790.00
994,24,-39544.00,-41790.00
994,25,-39440.00,-41790.00
994,26,-39652.00,-41790.00
994,27,-40154.00,-41790.00
994,28,-39870.00,-41790.00
994,29,-39694.00,-41790.00
995,0,-68093.00,-72707.00
995,1,-66265.00,-72707.00
995,2,-68051.00,-72707.00
995,3,-67179.00,-72707.00
995,4,-66957.00,-72707.00
995,5,-68145.00,-72707.00
995,6,-68787.00,-72707.00
995,7,-67151.00,-72707.00
995,8,-69485.00,-72707.00
995,9,-67963.00,-72707.00
995,10,-68331.00,-72707.00
995,11,-69725.00,-72707.00
995,12,-67289.00,-72707.00
995,13,-69279.00,-72707.00
995,14,-67231.00,-72707.00
995,15,-66837.00,-72707.00
995,16,-68789.00,-72707.00
995,17,-67813.00,-72707.00
995,18,-68055.00,-72707.00
995,19,-68767.00,-72707.00
995,20,-67451.00,-72707.00
995,21,-67421.00,-72707.00
995,22,-68045.00,-72707.00
995,23,-68113.00,-72707.00
995,24,-70087.00,-72707.00
995,25,-69221.00,-72707.00
995,26,-67649.00,-72707.00
995,27,-67561.00,-72707.00
995,28,-67511.00,-72707.00
995,29,-69417.00,-72707.00
996,0,-108739.00,-115145.00
996,1,-107133.00,-115145.00
996,2,-107669.00,-115145.00
996,3,-107763.00,-115145.00
996,4,-107281.00,-115145.00
996,5,-109225.00,-115145.00
996,6,-108823.00,-115145.00
996,7,-110057.00,-115145.00
996,8,-105709.00,-115145.00
996,9,-109363.00,-115145.00
996,10,-107347.00,-115145.00
996,11,-110325.00,-115145.00
996,12,-109183.00,-115145.00
996,13,-109307.00,-115145.00
996,14,-109769.00,-115145.00
996,15,-106265.00,-115145.00
996,16,-108677.00,-115145.00
996,17,-108873.00,-115145.00
996,18,-109373.00,-115145.00
996,19,-108527.00,-115145.00
996,20,-108913.00,-115145.00
996,21,-109781.00,-115145.00
996,22,-110161.00,-115145.00
996,23,-107197.00,-115145.00
996,24,-109593.00,-115145.00
996,25,-108601.00,-115145.00
996,26,-109555.00,-115145.00
996,27,-107677.00,-115145.00
996,28,-109481.00,-115145.00
996,29,-108435.00,-115145.00
997,0,-172166.00,-187096.00
997,1,-171234.00,-187096.00
997,2,-173256.00,-187096.00
997,3,-172520.00,-187096.00
997,4,-169510.00,-187096.00
997,5,-172362.00,-187096.00
997,6,-169596.00,-187096.00
997,7,-172196.00,-187096.00
997,8,-171534.00,-187096.00
997,9,-170978.00,-187096.00
997,10,-174298.00,-187096.00
997,11,-175136.00,-187096.00
997,12,-175434.00,-187096.00
997,13,-172426.00,-187096.00
997,14,-169884.00,-187096.00
997,15,-176196.00,-187096.00
997,16,-173686.00,-187096.00
997,17,-172364.00,-187096.00
997,18,-170638.00,-187096.00
997,19,-169830.00,-187096.00
997,20,-171948.00,-187096.00
997,21,-172244.00,-187096.00
997,22,-172656.00,-187096.00
997,23,-173310.00,-187096.00
997,24,-168876.00,-187096.00
997,25,-167376.00,-187096.00
997,26,-170842.00,-187096.00
997,27,-171710.00,-187096.00
997,28,-171442.00,-187096.00
997,29,-171220.00,-187096.00
998,0,-82330.00,-87290.00
998,1,-80972.00,-87290.00
998,2,-81480.00,-87290.00
998,3,-81894.00,-87290.00
998,4,-82418.00,-87290.00
998,5,-81886.00,-87290.00
998,6,-81068.00,-87290.00
998,7,-82864.00,-87290.00
998,8,-81684.00,-87290.00
998,9,-82992.00,-87290.00
998,10,-84834.00,-87290.00
998,11,-82006.00,-87290.00
998,12,-83418.00,-87290.00
998,13,-83060.00,-87290.00
998,14,-82722.00,-87290.00
998,15,-82846.00,-87290.00
998,16,-82426.00,-87290.00
998,17,-80364.00,-87290.00
998,18,-81530.00,-87290.00
998,19,-81488.00,-87290.00
998,20,-80776.00,-87290.00
998,21,-81898.00,-87290.00
998,22,-83188.00,-87290.00
998,23,-82176.00,-87290.00
998,24,-83178.00,-87290.00
998,25,-82842.00,-87290.00
998,26,-82636.00,-87290.00
998,27,-82502.00,-87290.00
998,28,-83052.00,-87290.00
998,29,-82730.00,-87290.00
999,0,-93873.00,-101785.00
999,1,-96315.00,-101785.00
999,2,-95461.00,-101785.00
999,3,-92625.00,-101785.00
999,4,-93419.00,-101785.00
999,5,-93605.00,-101785.00
999,6,-95963.00,-101785.00
999,7,-94999.00,-101785.00
999,8,-96353.00,-101785.00
999,9,-95959.00,-101785.00
999,10,-93487.00,-101785.00
999,11,-95621.00,-101785.00
999,12,-94783.00,-101785.00
999,13,-96717.00,-101785.00
999,14,-98001.00,-101785.00
999,15,-93877.00,-101785.00
999,16,-94759.00,-101785.00
999,17,-95157.00,-101785.00
999,18,-95317.00,-101785.00
999,19,-95237.00,-101785.00
999,20,-95119.00,-101785.00
999,21,-95859.00,-101785.00
999,22,-95871.00,-101785.00
999,23,-94647.00,-101785.00
999,24,-94869.00,-101785.00
999,25,-93355.00,-101785.00
999,26,-94719.00,-101785.00
999,27,-93923.00,-101785.00
999,28,-95821.00,-101785.00
999,29,-95219.00,-101785.00
