InstanceID,Run,Fitness,BestKnown
990,0,-65791.00,-70459.00
990,1,-65447.00,-70459.00
990,2,-65947.00,-70459.00
990,3,-65619.00,-70459.00
990,4,-64237.00,-70459.00
990,5,-65251.00,-70459.00
990,6,-66697.00,-70459.00
990,7,-64931.00,-70459.00
990,8,-65469.00,-70459.00
990,9,-64315.00,-70459.00
990,10,-64013.00,-70459.00
990,11,-65779.00,-70459.00
990,12,-65295.00,-70459.00
990,13,-65191.00,-70459.00
990,14,-65275.00,-70459.00
990,15,-66655.00,-70459.00
990,16,-65785.00,-70459.00
990,17,-66223.00,-70459.00
990,18,-65425.00,-70459.00
990,19,-65283.00,-70459.00
990,20,-64569.00,-70459.00
990,21,-64493.00,-70459.00
990,22,-65171.00,-70459.00
990,23,-66043.00,-70459.00
990,24,-65849.00,-70459.00
990,25,-65829.00,-70459.00
990,26,-65333.00,-70459.00
990,27,-65655.00,-70459.00
990,28,-65457.00,-70459.00
990,29,-65759.00,-70459.00
991,0,-91672.00,-102182.00
991,1,-94426.00,-102182.00
991,2,-93576.00,-102182.00
991,3,-94282.00,-102182.00
991,4,-94422.00,-102182.00
991,5,-94572.00,-102182.00
991,6,-94890.00,-102182.00
991,7,-95726.00,-102182.00
991,8,-94400.00,-102182.00
991,9,-93624.00,-102182.00
991,10,-94464.00,-102182.00
991,11,-94428.00,-102182.00
991,12,-95910.00,-102182.00
991,13,-92984.00,-102182.00
991,14,-95002.00,-102182.00
991,15,-91148.00,-102182.00
991,16,-93118.00,-102182.00
991,17,-95120.00,-102182.00
991,18,-93550.00,-102182.00
991,19,-94890.00,-102182.00
991,20,-93318.00,-102182.00
991,21,-95790.00,-102182.00
991,22,-92188.00,-102182.00
991,23,-95268.00,-102182.00
991,24,-94280.00,-102182.00
991,25,-94518.00,-102182.00
991,26,-94658.00,-102182.00
991,27,-93362.00,-102182.00
991,28,-93052.00,-102182.00
991,29,-93240.00,-102182.00
992,0,-105453.00,-112475.00
992,1,-107275.00,-112475.00
992,2,-107335.00,-112475.00
992,3,-107591.00,-112475.00
992,4,-106393.00,-112475.00
992,5,-106501.00,-112475.00
992,6,-107639.00,-112475.00
992,7,-106835.00,-112475.00
992,8,-108721.00,-112475.00
992,9,-108133.00,-112475.00
992,10,-105625.00,-112475.00
992,11,-108379.00,-112475.00
992,12,-106789.00,-112475.00
992,13,-107159.00,-112475.00
992,14,-106477.00,-112475.00
992,15,-107341.00,-112475.00
992,16,-107961.00,-112475.00
992,17,-107749.00,-112475.00
992,18,-103881.00,-112475.00
992,19,-107767.00,-112475.00
992,20,-107101.00,-112475.00
992,21,-107051.00,-112475.00
992,22,-105067.00,-112475.00
992,23,-105407.00,-112475.00
992,24,-108237.00,-112475.00
992,25,-105917.00,-112475.00
992,26,-107945.00,-112475.00
992,27,-105557.00,-112475.00
992,28,-109219.00,-112475.00
992,29,-109411.00,-112475.00
993,0,-87722.00,-96038.00
993,1,-88690.00,-96038.00
993,2,-88640.00,-96038.00
993,3,-89178.00,-96038.00
993,4,-89014.00,-96038.00
993,5,-88032.00,-96038.00
993,6,-88270.00,-96038.00
993,7,-88564.00,-96038.00
993,8,-87816.00,-96038.00
993,9,-90192.00,-96038.00
993,10,-89144.00,-96038.00
993,11,-89938.00,-96038.00
993,12,-87346.00,-96038.00
993,13,-89290.00,-96038.00
993,14,-87672.00,-96038.00
993,15,-90672.00,-96038.00
993,16,-88682.00,-96038.00
993,17,-88960.00,-96038.00
993,18,-87556.00,-96038.00
993,19,-90770.00,-96038.00
993,20,-87744.00,-96038.00
993,21,-89070.00,-96038.00
993,22,-87986.00,-96038.00
993,23,-90474.00,-96038.00
993,24,-88508.00,-96038.00
993,25,-87476.00,-96038.00
993,26,-88320.00,-96038.00
993,27,-87256.00,-96038.00
993,28,-90286.00,-96038.00
993,29,-89052.00,-96038.00
994,0,-38976.00,-41790.00
994,1,-40140.00,-41790.00
994,2,-39192.00,-41790.00
994,3,-39686.00,-41790.00
994,4,-39510.00,-41790.00
994,5,-39678.00,-41790.00
994,6,-39996.00,-41790.00
994,7,-39828.00,-41790.00
994,8,-39260.00,-41790.00
994,9,-39502.00,-41790.00
994,10,-39250.00,-41790.00
994,11,-40156.00,-41790.00
994,12,-39562.00,-41790.00
994,13,-39268.00,-41790.00
994,14,-39440.00,-41790.00
994,15,-39762.00,-41790.00
994,16,-38516.00,-41790.00
994,17,-39350.00,-41790.00
994,18,-38750.00,-41790.00
994,19,-39108.00,-41790.00
994,20,-39480.00,-41790.00
994,21,-39280.00,-41790.00
994,22,-39676.00,-41790.00
994,23,-40162.00,-41790.00
994,24,-39956.00,-41790.00
994,25,-39802.00,-41790.00
994,26,-39028.00,-41790.00
994,27,-39826.00,-41790.00
994,28,-38416.00,-41790.00
994,29,-40124.00,-41790.00
995,0,-69679.00,-72707.00
995,1,-69807.00,-72707.00
995,2,-68627.00,-72707.00
995,3,-68985.00,-72707.00
995,4,-67517.00,-72707.00
995,5,-69765.00,-72707.00
995,6,-67855.00,-72707.00
995,7,-70209.00,-72707.00
995,8,-70305.00,-72707.00
995,9,-68799.00,-72707.00
995,10,-69699.00,-72707.00
995,11,-68091.00,-72707.00
995,12,-70475.00,-72707.00
995,13,-68559.00,-72707.00
995,14,-67501.00,-72707.00
995,15,-69789.00,-72707.00
995,16,-69017.00,-72707.00
995,17,-69535.00,-72707.00
995,18,-68973.00,-72707.00
995,19,-69075.00,-72707.00
995,20,-69645.00,-72707.00
995,21,-69955.00,-72707.00
995,22,-70459.00,-72707.00
995,23,-69059.00,-72707.00
995,24,-69551.00,-72707.00
995,25,-68803.00,-72707.00
995,26,-68933.00,-72707.00
995,27,-69359.00,-72707.00
995,28,-67355.00,-72707.00
995,29,-70041.00,-72707.00
996,0,-106961.00,-115145.00
996,1,-105855.00,-115145.00
996,2,-107261.00,-115145.00
996,3,-106917.00,-115145.00
996,4,-108461.00,-115145.00
996,5,-109517.00,-115145.00
996,6,-106893.00,-115145.00
996,7,-109157.00,-115145.00
996,8,-108565.00,-115145.00
996,9,-104875.00,-115145.00
996,10,-105607.00,-115145.00
996,11,-108465.00,-115145.00
996,12,-105487.00,-115145.00
996,13,-108291.00,-115145.00
996,14,-105967.00,-115145.00
996,15,-106215.00,-115145.00
996,16,-107383.00,-115145.00
996,17,-109631.00,-115145.00
996,18,-108425.00,-115145.00
996,19,-107097.00,-115145.00
996,20,-109371.00,-115145.00
996,21,-108181.00,-115145.00
996,22,-108291.00,-115145.00
996,23,-106587.00,-115145.00
996,24,-107659.00,-115145.00
996,25,-107619.00,-115145.00
996,26,-108343.00,-115145.00
996,27,-107635.00,-115145.00
996,28,-106867.00,-115145.00
996,29,-107757.00,-115145.00
997,0,-171910.00,-187096.00
997,1,-173002.00,-187096.00
997,2,-171430.00,-187096.00
997,3,-172300.00,-187096.00
997,4,-171744.00,-187096.00
997,5,-174826.00,-187096.00
997,6,-172654.00,-187096.00
997,7,-171104.00,-187096.00
997,8,-170518.00,-187096.00
997,9,-167050.00,-187096.00
997,10,-169418.00,-187096.00
997,11,-169564.00,-187096.00
997,12,-172040.00,-187096.00
997,13,-170982.00,-187096.00
997,14,-172722.00,-187096.00
997,15,-172772.00,-187096.00
997,16,-173610.00,-187096.00
997,17,-171616.00,-187096.00
997,18,-172808.00,-187096.00
997,19,-171508.00,-187096.00
997,20,-172908.00,-187096.00
997,21,-170308.00,-187096.00
997,22,-172300.00,-187096.00
997,23,-166942.00,-187096.00
997,24,-172306.00,-187096.00
997,25,-171596.00,-187096.00
997,26,-171106.00,-187096.00
997,27,-168472.00,-187096.00
997,28,-171164.00,-187096.00
997,29,-172580.00,-187096.00
998,0,-82120.00,-87290.00
998,1,-81214.00,-87290.00
998,2,-80924.00,-87290.00
998,3,-82168.00,-87290.00
998,4,-82588.00,-87290.00
998,5,-79646.00,-87290.00
998,6,-81432.00,-87290.00
998,7,-82870.00,-87290.00
998,8,-81862.00,-87290.00
998,9,-81344.00,-87290.00
998,10,-81702.00,-87290.00
998,11,-80964.00,-87290.00
998,12,-82704.00,-87290.00
998,13,-82448.00,-87290.00
998,14,-81482.00,-87290.00
998,15,-82258.00,-87290.00
998,16,-81604.00,-87290.00
998,17,-84604.00,-87290.00
998,18,-81848.00,-87290.00
998,19,-79648.00,-87290.00
998,20,-82406.00,-87290.00
998,21,-82386.00,-87290.00
998,22,-81834.00,-87290.00
998,23,-81698.00,-87290.00
998,24,-80874.00,-87290.00
998,25,-80916.00,-87290.00
998,26,-82840.00,-87290.00
998,27,-82558.00,-87290.00
998,28,-80630.00,-87290.00
998,29,-82220.00,-87290.00
999,0,-93603.00,-101785.00
999,1,-94183.00,-101785.00
999,2,-93893.00,-101785.00
999,3,-92487.00,-101785.00
999,4,-93211.00,-101785.00
999,5,-92793.00,-101785.00
999,6,-92165.00,-101785.00
999,7,-95083.00,-101785.00
999,8,-92893.00,-101785.00
999,9,-94771.00,-101785.00
999,10,-92221.00,-101785.00
999,11,-94569.00,-101785.00
999,12,-94625.00,-101785.00
999,13,-93809.00,-101785.00
999,14,-92755.00,-101785.00
999,15,-95495.00,-101785.00
999,16,-93433.00,-101785.00
999,17,-95227.00,-101785.00
999,18,-92351.00,-101785.00
999,19,-94331.00,-101785.00
999,20,-90385.00,-101785.00
999,21,-92799.00,-101785.00
999,22,-94121.00,-101785.00
999,23,-93441.00,-101785.00
999,24,-91359.00,-101785.00
999,25,-94433.00,-101785.00
999,26,-92821.00,-101785.00
999,27,-96731.00,-101785.00
999,28,-91655.00,-101785.00
999,29,-93689.00,-101785.00
