InstanceID,Run,Fitness,BestKnown
990,0,-52945.00,-70459.00
990,1,-62905.00,-70459.00
990,2,-62857.00,-70459.00
990,3,-62381.00,-70459.00
990,4,-61631.00,-70459.00
990,5,-61253.00,-70459.00
990,6,-60807.00,-70459.00
990,7,-60677.00,-70459.00
990,8,-63511.00,-70459.00
990,9,-62947.00,-70459.00
990,10,-61871.00,-70459.00
990,11,-62263.00,-70459.00
990,12,-61931.00,-70459.00
990,13,-63231.00,-70459.00
990,14,-61973.00,-70459.00
990,15,-61773.00,-70459.00
990,16,-61707.00,-70459.00
990,17,-61465.00,-70459.00
990,18,-63127.00,-70459.00
990,19,-63027.00,-70459.00
990,20,-61155.00,-70459.00
990,21,-60813.00,-70459.00
990,22,-60617.00,-70459.00
990,23,-61977.00,-70459.00
990,24,-62379.00,-70459.00
990,25,-61211.00,-70459.00
990,26,-61713.00,-70459.00
990,27,-62265.00,-70459.00
990,28,-60621.00,-70459.00
990,29,-60483.00,-70459.00
991,0,-83082.00,-102182.00
991,1,-88278.00,-102182.00
991,2,-88934.00,-102182.00
991,3,-90132.00,-102182.00
991,4,-90656.00,-102182.00
991,5,-88084.00,-102182.00
991,6,-91456.00,-102182.00
991,7,-90954.00,-102182.00
991,8,-88952.00,-102182.00
991,9,-90836.00,-102182.00
991,10,-88816.00,-102182.00
991,11,-92672.00,-102182.00
991,12,-89882.00,-102182.00
991,13,-89250.00,-102182.00
991,14,-86358.00,-102182.00
991,15,-88108.00,-102182.00
991,16,-88004.00,-102182.00
991,17,-89018.00,-102182.00
991,18,-87660.00,-102182.00
991,19,-89430.00,-102182.00
991,20,-90836.00,-102182.00
991,21,-90272.00,-102182.00
991,22,-90010.00,-102182.00
991,23,-90470.00,-102182.00
991,24,-90794.00,-102182.00
991,25,-92444.00,-102182.00
991,26,-90658.00,-102182.00
991,27,-88686.00,-102182.00
991,28,-90678.00,-102182.00
991,29,-88904.00,-102182.00
992,0,-90433.00,-112475.00
992,1,-96763.00,-112475.00
992,2,-98127.00,-112475.00
992,3,-98313.00,-112475.00
992,4,-95927.00,-112475.00
992,5,-96095.00,-112475.00
992,6,-96471.00,-112475.00
