InstanceID,Run,Fitness,BestKnown
990,0,-30499.00,-70459.00
990,1,-32547.00,-70459.00
990,2,-37499.00,-70459.00
990,3,-39785.00,-70459.00
990,4,-38945.00,-70459.00
990,5,-39741.00,-70459.00
990,6,-39381.00,-70459.00
990,7,-41833.00,-70459.00
990,8,-41949.00,-70459.00
990,9,-41563.00,-70459.00
990,10,-40625.00,-70459.00
990,11,-41357.00,-70459.00
990,12,-41581.00,-70459.00
990,13,-39519.00,-70459.00
990,14,-39199.00,-70459.00
990,15,-37333.00,-70459.00
990,16,-36591.00,-70459.00
990,17,-37807.00,-70459.00
990,18,-37651.00,-70459.00
990,19,-32419.00,-70459.00
990,20,-37243.00,-70459.00
990,21,-42793.00,-70459.00
990,22,-37039.00,-70459.00
990,23,-37793.00,-70459.00
990,24,-40083.00,-70459.00
990,25,-36599.00,-70459.00
990,26,-37601.00,-70459.00
990,27,-34887.00,-70459.00
990,28,-39491.00,-70459.00
990,29,-41227.00,-70459.00
991,0,-31006.00,-102182.00
991,1,-36868.00,-102182.00
991,2,-36542.00,-102182.00
991,3,-37882.00,-102182.00
991,4,-37420.00,-102182.00
991,5,-43628.00,-102182.00
991,6,-51424.00,-102182.00
991,7,-43076.00,-102182.00
991,8,-43588.00,-102182.00
991,9,-44482.00,-102182.00
991,10,-43476.00,-102182.00
991,11,-46966.00,-102182.00
991,12,-45956.00,-102182.00
991,13,-41846.00,-102182.00
991,14,-50046.00,-102182.00
991,15,-44198.00,-102182.00
991,16,-48620.00,-102182.00
991,17,-54460.00,-102182.00
991,18,-49616.00,-102182.00
991,19,-56228.00,-102182.00
991,20,-54852.00,-102182.00
991,21,-51982.00,-102182.00
991,22,-60834.00,-102182.00
991,23,-60248.00,-102182.00
991,24,-58282.00,-102182.00
991,25,-57422.00,-102182.00
991,26,-53614.00,-102182.00
991,27,-55320.00,-102182.00
991,28,-56490.00,-102182.00
991,29,-54530.00,-102182.00
992,0,-41801.00,-112475.00
992,1,-47465.00,-112475.00
992,2,-40899.00,-112475.00
992,3,-44451.00,-112475.00
992,4,-44519.00,-112475.00
992,5,-45073.00,-112475.00
992,6,-49175.00,-112475.00
992,7,-49335.00,-112475.00
992,8,-58211.00,-112475.00
992,9,-57723.00,-112475.00
992,10,-54161.00,-112475.00
992,11,-56047.00,-112475.00
992,12,-56601.00,-112475.00
992,13,-63077.00,-112475.00
992,14,-63623.00,-112475.00
992,15,-61551.00,-112475.00
992,16,-62651.00,-112475.00
992,17,-62851.00,-112475.00
992,18,-58053.00,-112475.00
992,19,-61509.00,-112475.00
992,20,-64171.00,-112475.00
992,21,-57693.00,-112475.00
992,22,-59625.00,-112475.00
992,23,-62399.00,-112475.00
992,24,-60463.00,-112475.00
992,25,-55589.00,-112475.00
992,26,-62779.00,-112475.00
992,27,-64243.00,-112475.00
992,28,-58467.00,-112475.00
992,29,-59201.00,-112475.00
993,0,-38856.00,-96038.00
993,1,-45776.00,-96038.00
993,2,-45626.00,-96038.00
993,3,-50346.00,-96038.00
993,4,-54472.00,-96038.00
993,5,-57116.00,-96038.00
993,6,-53058.00,-96038.00
993,7,-56940.00,-96038.00
993,8,-48490.00,-96038.00
993,9,-55874.00,-96038.00
993,10,-53690.00,-96038.00
993,11,-53364.00,-96038.00
993,12,-52626.00,-96038.00
993,13,-53364.00,-96038.00
993,14,-54622.00,-96038.00
993,15,-50580.00,-96038.00
993,16,-56678.00,-96038.00
993,17,-56446.00,-96038.00
993,18,-55154.00,-96038.00
993,19,-54330.00,-96038.00
993,20,-53924.00,-96038.00
993,21,-52946.00,-96038.00
993,22,-57266.00,-96038.00
993,23,-53936.00,-96038.00
993,24,-49786.00,-96038.00
993,25,-53322.00,-96038.00
993,26,-57958.00,-96038.00
993,27,-57832.00,-96038.00
993,28,-55164.00,-96038.00
993,29,-49412.00,-96038.00
994,0,-25218.00,-41790.00
994,1,-25214.00,-41790.00
994,2,-25448.00,-41790.00
994,3,-25388.00,-41790.00
994,4,-25558.00,-41790.00
