InstanceID,Run,Fitness,BestKnown
990,0,-69027.00,-70459.00
990,1,-70265.00,-70459.00
990,2,-69963.00,-70459.00
990,3,-69765.00,-70459.00
990,4,-70377.00,-70459.00
990,5,-69415.00,-70459.00
990,6,-69909.00,-70459.00
990,7,-69663.00,-70459.00
990,8,-69175.00,-70459.00
990,9,-68995.00,-70459.00
990,10,-69133.00,-70459.00
990,11,-69853.00,-70459.00
990,12,-70595.00,-70459.00
990,13,-70019.00,-70459.00
990,14,-69561.00,-70459.00
990,15,-69339.00,-70459.00
990,16,-70379.00,-70459.00
990,17,-69149.00,-70459.00
990,18,-69891.00,-70459.00
990,19,-68953.00,-70459.00
990,20,-70087.00,-70459.00
990,21,-69289.00,-70459.00
990,22,-69891.00,-70459.00
990,23,-70179.00,-70459.00
990,24,-69779.00,-70459.00
990,25,-69789.00,-70459.00
990,26,-69641.00,-70459.00
990,27,-69193.00,-70459.00
990,28,-69177.00,-70459.00
990,29,-69881.00,-70459.00
991,0,-99014.00,-102182.00
991,1,-99226.00,-102182.00
991,2,-98942.00,-102182.00
991,3,-98938.00,-102182.00
991,4,-99346.00,-102182.00
991,5,-99556.00,-102182.00
991,6,-99156.00,-102182.00
991,7,-97762.00,-102182.00
991,8,-98076.00,-102182.00
991,9,-97828.00,-102182.00
991,10,-99910.00,-102182.00
991,11,-97338.00,-102182.00
991,12,-98486.00,-102182.00
991,13,-99322.00,-102182.00
991,14,-98592.00,-102182.00
991,15,-97330.00,-102182.00
991,16,-100054.00,-102182.00
991,17,-99030.00,-102182.00
991,18,-97738.00,-102182.00
991,19,-100474.00,-102182.00
991,20,-100194.00,-102182.00
991,21,-99690.00,-102182.00
991,22,-97042.00,-102182.00
991,23,-97534.00,-102182.00
991,24,-97698.00,-102182.00
991,25,-99714.00,-102182.00
991,26,-98806.00,-102182.00
991,27,-98050.00,-102182.00
991,28,-98570.00,-102182.00
991,29,-97938.00,-102182.00
992,0,-108767.00,-112475.00
992,1,-108935.00,-112475.00
992,2,-108993.00,-112475.00
992,3,-108445.00,-112475.00
992,4,-108337.00,-112475.00
992,5,-108159.00,-112475.00
992,6,-110137.00,-112475.00
992,7,-109163.00,-112475.00
992,8,-108065.00,-112475.00
992,9,-108639.00,-112475.00
992,10,-108213.00,-112475.00
992,11,-110009.00,-112475.00
992,12,-109651.00,-112475.00
992,13,-108343.00,-112475.00
992,14,-110959.00,-112475.00
992,15,-108373.00,-112475.00
992,16,-108597.00,-112475.00
992,17,-109631.00,-112475.00
992,18,-110337.00,-112475.00
992,19,-109709.00,-112475.00
992,20,-108743.00,-112475.00
992,21,-109319.00,-112475.00
992,22,-108053.00,-112475.00
992,23,-108827.00,-112475.00
992,24,-109299.00,-112475.00
992,25,-110743.00,-112475.00
992,26,-108161.00,-112475.00
992,27,-109095.00,-112475.00
992,28,-109235.00,-112475.00
992,29,-109869.00,-112475.00
993,0,-94780.00,-96038.00
993,1,-94054.00,-96038.00
993,2,-94178.00,-96038.00
993,3,-94050.00,-96038.00
993,4,-95370.00,-96038.00
993,5,-95234.00,-96038.00
993,6,-93940.00,-96038.00
993,7,-94464.00,-96038.00
993,8,-93440.00,-96038.00
993,9,-94886.00,-96038.00
993,10,-93428.00,-96038.00
993,11,-95334.00,-96038.00
993,12,-94544.00,-96038.00
993,13,-93098.00,-96038.00
993,14,-94530.00,-96038.00
993,15,-93570.00,-96038.00
993,16,-93910.00,-96038.00
993,17,-93554.00,-96038.00
993,18,-93442.00,-96038.00
993,19,-94426.00,-96038.00
993,20,-94974.00,-96038.00
993,21,-93462.00,-96038.00
993,22,-95010.00,-96038.00
993,23,-92984.00,-96038.00
993,24,-93390.00,-96038.00
993,25,-93374.00,-96038.00
993,26,-94422.00,-96038.00
993,27,-93560.00,-96038.00
993,28,-94924.00,-96038.00
993,29,-92764.00,-96038.00
994,0,-41072.00,-41790.00
994,1,-41386.00,-41790.00
994,2,-41536.00,-41790.00
994,3,-41464.00,-41790.00
994,4,-41244.00,-41790.00
994,5,-41366.00,-41790.00
994,6,-41614.00,-41790.00
994,7,-40904.00,-41790.00
994,8,-41498.00,-41790.00
994,9,-41408.00,-41790.00
994,10,-41610.00,-41790.00
994,11,-41938.00,-41790.00
994,12,-41322.00,-41790.00
994,13,-41544.00,-41790.00
994,14,-41078.00,-41790.00
994,15,-41808.00,-41790.00
994,16,-41880.00,-41790.00
994,17,-41766.00,-41790.00
994,18,-41276.00,-41790.00
994,19,-41790.00,-41790.00
994,20,-41672.00,-41790.00
994,21,-41554.00,-41790.00
994,22,-41314.00,-41790.00
994,23,-41402.00,-41790.00
994,24,-41112.00,-41790.00
994,25,-41600.00,-41790.00
994,26,-41892.00,-41790.00
994,27,-41868.00,-41790.00
994,28,-41150.00,-41790.00
994,29,-41462.00,-41790.00
995,0,-71149.00,-72707.00
995,1,-71451.00,-72707.00
995,2,-71423.00,-72707.00
995,3,-71725.00,-72707.00
995,4,-71611.00,-72707.00
995,5,-71183.00,-72707.00
995,6,-71301.00,-72707.00
995,7,-71137.00,-72707.00
995,8,-70927.00,-72707.00
995,9,-70517.00,-72707.00
995,10,-70401.00,-72707.00
995,11,-70667.00,-72707.00
995,12,-70161.00,-72707.00
995,13,-72849.00,-72707.00
995,14,-71263.00,-72707.00
995,15,-71259.00,-72707.00
995,16,-71483.00,-72707.00
995,17,-71377.00,-72707.00
995,18,-71577.00,-72707.00
995,19,-72037.00,-72707.00
995,20,-70839.00,-72707.00
995,21,-71197.00,-72707.00
995,22,-72309.00,-72707.00
995,23,-71037.00,-72707.00
995,24,-70949.00,-72707.00
995,25,-70735.00,-72707.00
995,26,-71349.00,-72707.00
995,27,-70553.00,-72707.00
995,28,-70993.00,-72707.00
995,29,-71141.00,-72707.00
996,0,-112785.00,-115145.00
996,1,-113817.00,-115145.00
996,2,-112255.00,-115145.00
996,3,-112375.00,-115145.00
996,4,-112523.00,-115145.00
996,5,-112615.00,-115145.00
996,6,-112981.00,-115145.00
996,7,-112593.00,-115145.00
996,8,-112995.00,-115145.00
996,9,-113569.00,-115145.00
996,10,-113667.00,-115145.00
996,11,-112005.00,-115145.00
996,12,-113501.00,-115145.00
996,13,-113823.00,-115145.00
996,14,-112551.00,-115145.00
996,15,-113825.00,-115145.00
996,16,-112393.00,-115145.00
996,17,-113981.00,-115145.00
996,18,-113433.00,-115145.00
996,19,-111573.00,-115145.00
996,20,-112787.00,-115145.00
996,21,-114359.00,-115145.00
996,22,-112025.00,-115145.00
996,23,-114031.00,-115145.00
996,24,-111747.00,-115145.00
996,25,-112655.00,-115145.00
996,26,-113919.00,-115145.00
996,27,-114419.00,-115145.00
996,28,-112991.00,-115145.00
996,29,-111841.00,-115145.00
997,0,-179378.00,-187096.00
997,1,-178936.00,-187096.00
997,2,-180790.00,-187096.00
997,3,-179484.00,-187096.00
997,4,-181336.00,-187096.00
997,5,-182398.00,-187096.00
997,6,-179336.00,-187096.00
997,7,-181854.00,-187096.00
997,8,-180430.00,-187096.00
997,9,-177070.00,-187096.00
997,10,-178710.00,-187096.00
997,11,-180590.00,-187096.00
997,12,-180600.00,-187096.00
997,13,-181688.00,-187096.00
997,14,-180978.00,-187096.00
997,15,-179910.00,-187096.00
997,16,-179314.00,-187096.00
997,17,-178392.00,-187096.00
997,18,-178782.00,-187096.00
997,19,-178680.00,-187096.00
997,20,-181742.00,-187096.00
997,21,-180694.00,-187096.00
997,22,-179944.00,-187096.00
997,23,-179342.00,-187096.00
997,24,-179974.00,-187096.00
997,25,-178678.00,-187096.00
997,26,-177962.00,-187096.00
997,27,-181268.00,-187096.00
997,28,-179136.00,-187096.00
997,29,-179894.00,-187096.00
998,0,-86814.00,-87290.00
998,1,-85220.00,-87290.00
998,2,-85478.00,-87290.00
998,3,-87086.00,-87290.00
998,4,-86450.00,-87290.00
998,5,-86610.00,-87290.00
998,6,-86352.00,-87290.00
998,7,-85106.00,-87290.00
998,8,-86046.00,-87290.00
998,9,-85778.00,-87290.00
998,10,-85486.00,-87290.00
998,11,-86706.00,-87290.00
998,12,-86150.00,-87290.00
998,13,-86420.00,-87290.00
998,14,-86474.00,-87290.00
998,15,-86034.00,-87290.00
998,16,-86238.00,-87290.00
998,17,-85768.00,-87290.00
998,18,-85428.00,-87290.00
998,19,-86216.00,-87290.00
998,20,-85818.00,-87290.00
998,21,-86758.00,-87290.00
998,22,-86288.00,-87290.00
998,23,-86434.00,-87290.00
998,24,-86458.00,-87290.00
998,25,-86260.00,-87290.00
998,26,-86020.00,-87290.00
998,27,-86556.00,-87290.00
998,28,-86394.00,-87290.00
998,29,-86196.00,-87290.00
999,0,-100229.00,-101785.00
999,1,-98361.00,-101785.00
999,2,-99057.00,-101785.00
999,3,-98829.00,-101785.00
999,4,-99271.00,-101785.00
999,5,-98143.00,-101785.00
999,6,-98895.00,-101785.00
999,7,-98707.00,-101785.00
999,8,-98769.00,-101785.00
999,9,-98919.00,-101785.00
999,10,-99195.00,-101785.00
999,11,-98847.00,-101785.00
999,12,-98315.00,-101785.00
999,13,-99919.00,-101785.00
999,14,-99381.00,-101785.00
999,15,-99307.00,-101785.00
999,16,-99233.00,-101785.00
999,17,-98535.00,-101785.00
999,18,-99787.00,-101785.00
999,19,-99675.00,-101785.00
999,20,-99583.00,-101785.00
999,21,-100269.00,-101785.00
999,22,-100639.00,-101785.00
999,23,-99515.00,-101785.00
999,24,-98529.00,-101785.00
999,25,-99801.00,-101785.00
999,26,-99293.00,-101785.00
999,27,-99159.00,-101785.00
999,28,-99149.00,-101785.00
999,29,-99507.00,-101785.00
