InstanceID,Run,Fitness,BestKnown
990,0,-69391.00,-70459.00
990,1,-68813.00,-70459.00
990,2,-69879.00,-70459.00
990,3,-69415.00,-70459.00
990,4,-69513.00,-70459.00
990,5,-69119.00,-70459.00
990,6,-68587.00,-70459.00
990,7,-69595.00,-70459.00
990,8,-69001.00,-70459.00
990,9,-69695.00,-70459.00
990,10,-69079.00,-70459.00
990,11,-68915.00,-70459.00
990,12,-70031.00,-70459.00
990,13,-69481.00,-70459.00
990,14,-69183.00,-70459.00
990,15,-69443.00,-70459.00
990,16,-68927.00,-70459.00
990,17,-69079.00,-70459.00
990,18,-70365.00,-70459.00
990,19,-69265.00,-70459.00
990,20,-69243.00,-70459.00
990,21,-69361.00,-70459.00
990,22,-69739.00,-70459.00
990,23,-70007.00,-70459.00
990,24,-69221.00,-70459.00
990,25,-70133.00,-70459.00
990,26,-69487.00,-70459.00
990,27,-68933.00,-70459.00
990,28,-69055.00,-70459.00
990,29,-69793.00,-70459.00
991,0,-97314.00,-102182.00
991,1,-99886.00,-102182.00
991,2,-98038.00,-102182.00
991,3,-99268.00,-102182.00
991,4,-98746.00,-102182.00
991,5,-98816.00,-102182.00
991,6,-99640.00,-102182.00
991,7,-99406.00,-102182.00
991,8,-98576.00,-102182.00
991,9,-97572.00,-102182.00
991,10,-97496.00,-102182.00
991,11,-97790.00,-102182.00
991,12,-99024.00,-102182.00
991,13,-100456.00,-102182.00
991,14,-98182.00,-102182.00
991,15,-99356.00,-102182.00
991,16,-97648.00,-102182.00
991,17,-95440.00,-102182.00
991,18,-98510.00,-102182.00
991,19,-97976.00,-102182.00
991,20,-97368.00,-102182.00
991,21,-97900.00,-102182.00
991,22,-97374.00,-102182.00
991,23,-96520.00,-102182.00
991,24,-98616.00,-102182.00
991,25,-100830.00,-102182.00
991,26,-96798.00,-102182.00
991,27,-98660.00,-102182.00
991,28,-98826.00,-102182.00
991,29,-98076.00,-102182.00
992,0,-108617.00,-112475.00
992,1,-108685.00,-112475.00
992,2,-108755.00,-112475.00
992,3,-109113.00,-112475.00
992,4,-108789.00,-112475.00
992,5,-108323.00,-112475.00
992,6,-107715.00,-112475.00
992,7,-107771.00,-112475.00
992,8,-108009.00,-112475.00
992,9,-107749.00,-112475.00
992,10,-105827.00,-112475.00
992,11,-107865.00,-112475.00
992,12,-106845.00,-112475.00
992,13,-107605.00,-112475.00
992,14,-108519.00,-112475.00
992,15,-107063.00,-112475.00
992,16,-107279.00,-112475.00
992,17,-107543.00,-112475.00
992,18,-106945.00,-112475.00
992,19,-108303.00,-112475.00
992,20,-108925.00,-112475.00
992,21,-108587.00,-112475.00
992,22,-107817.00,-112475.00
992,23,-108531.00,-112475.00
992,24,-107861.00,-112475.00
992,25,-108577.00,-112475.00
992,26,-109053.00,-112475.00
992,27,-108857.00,-112475.00
992,28,-106939.00,-112475.00
992,29,-106967.00,-112475.00
993,0,-92606.00,-96038.00
993,1,-93404.00,-96038.00
993,2,-92928.00,-96038.00
993,3,-93734.00,-96038.00
993,4,-94444.00,-96038.00
993,5,-92638.00,-96038.00
993,6,-93834.00,-96038.00
993,7,-93142.00,-96038.00
993,8,-93600.00,-96038.00
993,9,-91520.00,-96038.00
993,10,-93850.00,-96038.00
993,11,-94042.00,-96038.00
993,12,-93350.00,-96038.00
993,13,-93500.00,-96038.00
993,14,-93472.00,-96038.00
993,15,-92800.00,-96038.00
993,16,-93714.00,-96038.00
993,17,-92884.00,-96038.00
993,18,-92896.00,-96038.00
993,19,-92214.00,-96038.00
993,20,-94016.00,-96038.00
993,21,-93958.00,-96038.00
993,22,-93568.00,-96038.00
993,23,-93388.00,-96038.00
993,24,-93172.00,-96038.00
993,25,-93942.00,-96038.00
993,26,-94506.00,-96038.00
993,27,-93044.00,-96038.00
993,28,-92612.00,-96038.00
993,29,-93780.00,-96038.00
994,0,-41216.00,-41790.00
994,1,-41030.00,-41790.00
994,2,-40546.00,-41790.00
994,3,-41468.00,-41790.00
994,4,-40926.00,-41790.00
994,5,-40936.00,-41790.00
