random_search_results.csv,Run,Fitness,BestKnown
990,0,-5713,00,-70459,00
990,1,-4867,00,-70459,00
990,2,-5689,00,-70459,00
990,3,-6287,00,-70459,00
990,4,-5175,00,-70459,00
990,5,-5975,00,-70459,00
990,6,-5513,00,-70459,00
990,7,-6133,00,-70459,00
990,8,-5307,00,-70459,00
990,9,-6037,00,-70459,00
990,10,-4535,00,-70459,00
990,11,-5189,00,-70459,00
990,12,-5479,00,-70459,00
990,13,-5383,00,-70459,00
990,14,-5553,00,-70459,00
990,15,-4955,00,-70459,00
990,16,-5085,00,-70459,00
990,17,-5275,00,-70459,00
990,18,-4641,00,-70459,00
990,19,-5307,00,-70459,00
990,20,-5487,00,-70459,00
990,21,-5221,00,-70459,00
990,22,-4985,00,-70459,00
990,23,-5255,00,-70459,00
990,24,-5963,00,-70459,00
990,25,-5859,00,-70459,00
990,26,-6547,00,-70459,00
990,27,-5715,00,-70459,00
990,28,-5207,00,-70459,00
990,29,-5191,00,-70459,00
991,0,-8142.00,-102182.00
991,1,-6624.00,-102182.00
991,2,-5900.00,-102182.00
991,3,-6476.00,-102182.00
991,4,-6762.00,-102182.00
991,5,-6168.00,-102182.00
991,6,-7320.00,-102182.00
991,7,-7766.00,-102182.00
991,8,-7220.00,-102182.00
991,9,-7264.00,-102182.00
991,10,-7670.00,-102182.00
991,11,-5912.00,-102182.00
991,12,-5826.00,-102182.00
991,13,-6760.00,-102182.00
991,14,-5820.00,-102182.00
991,15,-6348.00,-102182.00
991,16,-7004.00,-102182.00
991,17,-7508.00,-102182.00
991,18,-6996.00,-102182.00
991,19,-8080.00,-102182.00
991,20,-7770.00,-102182.00
991,21,-6460.00,-102182.00
991,22,-8032.00,-102182.00
991,23,-7180.00,-102182.00
991,24,-6418.00,-102182.00
991,25,-7364.00,-102182.00
991,26,-7104.00,-102182.00
991,27,-6912.00,-102182.00
991,28,-6448.00,-102182.00
991,29,-5864.00,-102182.00
992,0,-9755.00,-112475.00
992,1,-7713.00,-112475.00
992,2,-6085.00,-112475.00
992,3,-6341.00,-112475.00
992,4,-7083.00,-112475.00
992,5,-7363.00,-112475.00
992,6,-6897.00,-112475.00
992,7,-7467.00,-112475.00
992,8,-7579.00,-112475.00
992,9,-6393.00,-112475.00
992,10,-6897.00,-112475.00
992,11,-7017.00,-112475.00
992,12,-6751.00,-112475.00
992,13,-7307.00,-112475.00
992,14,-8213.00,-112475.00
992,15,-7635.00,-112475.00
992,16,-6385.00,-112475.00
992,17,-6521.00,-112475.00
992,18,-6655.00,-112475.00
992,19,-7887.00,-112475.00
992,20,-7297.00,-112475.00
992,21,-5995.00,-112475.00
992,22,-7043.00,-112475.00
992,23,-5833.00,-112475.00
992,24,-7217.00,-112475.00
992,25,-6759.00,-112475.00
992,26,-6437.00,-112475.00
992,27,-8445.00,-112475.00
992,28,-7309.00,-112475.00
992,29,-7883.00,-112475.00
993,0,-5630.00,-96038.00
993,1,-5284.00,-96038.00
993,2,-5252.00,-96038.00
993,3,-6128.00,-96038.00
993,4,-6482.00,-96038.00
993,5,-5152.00,-96038.00
993,6,-6406.00,-96038.00
993,7,-5218.00,-96038.00
993,8,-5020.00,-96038.00
993,9,-6914.00,-96038.00
993,10,-4556.00,-96038.00
993,11,-5430.00,-96038.00
993,12,-6902.00,-96038.00
993,13,-5284.00,-96038.00
993,14,-5566.00,-96038.00
993,15,-5244.00,-96038.00
993,16,-5226.00,-96038.00
993,17,-5626.00,-96038.00
993,18,-5366.00,-96038.00
993,19,-5914.00,-96038.00
993,20,-6118.00,-96038.00
993,21,-5948.00,-96038.00
993,22,-5600.00,-96038.00
993,23,-5356.00,-96038.00
993,24,-4888.00,-96038.00
993,25,-6188.00,-96038.00
993,26,-4938.00,-96038.00
993,27,-5126.00,-96038.00
993,28,-5010.00,-96038.00
993,29,-5032.00,-96038.00
994,0,-3178.00,-41790.00
994,1,-3026.00,-41790.00
994,2,-2928.00,-41790.00
994,3,-2932.00,-41790.00
994,4,-2650.00,-41790.00
994,5,-2686.00,-41790.00
994,6,-3320.00,-41790.00
994,7,-3040.00,-41790.00
994,8,-2634.00,-41790.00
994,9,-2652.00,-41790.00
994,10,-3480.00,-41790.00
