InstanceID,Run,Fitness,BestKnown
990,0,-69509.00,-70459.00
990,1,-70025.00,-70459.00
990,2,-70073.00,-70459.00
990,3,-69501.00,-70459.00
990,4,-70265.00,-70459.00
990,5,-70281.00,-70459.00
990,6,-70381.00,-70459.00
990,7,-69873.00,-70459.00
990,8,-69837.00,-70459.00
990,9,-70531.00,-70459.00
990,10,-70605.00,-70459.00
990,11,-69237.00,-70459.00
990,12,-69679.00,-70459.00
990,13,-70233.00,-70459.00
990,14,-70245.00,-70459.00
990,15,-70035.00,-70459.00
990,16,-70093.00,-70459.00
990,17,-69581.00,-70459.00
990,18,-70021.00,-70459.00
990,19,-69547.00,-70459.00
990,20,-70161.00,-70459.00
990,21,-70401.00,-70459.00
990,22,-70005.00,-70459.00
990,23,-70175.00,-70459.00
990,24,-70787.00,-70459.00
990,25,-69887.00,-70459.00
990,26,-69517.00,-70459.00
990,27,-69991.00,-70459.00
990,28,-70463.00,-70459.00
990,29,-69879.00,-70459.00
991,0,-99582.00,-102182.00
991,1,-99832.00,-102182.00
991,2,-100014.00,-102182.00
991,3,-98976.00,-102182.00
991,4,-99474.00,-102182.00
991,5,-98048.00,-102182.00
991,6,-99260.00,-102182.00
991,7,-100880.00,-102182.00
991,8,-100978.00,-102182.00
991,9,-101100.00,-102182.00
991,10,-100000.00,-102182.00
991,11,-99682.00,-102182.00
991,12,-99696.00,-102182.00
991,13,-99886.00,-102182.00
991,14,-100240.00,-102182.00
991,15,-100524.00,-102182.00
991,16,-98916.00,-102182.00
991,17,-100616.00,-102182.00
991,18,-99254.00,-102182.00
991,19,-99788.00,-102182.00
991,20,-99716.00,-102182.00
991,21,-100178.00,-102182.00
991,22,-99176.00,-102182.00
991,23,-98606.00,-102182.00
991,24,-99538.00,-102182.00
991,25,-98258.00,-102182.00
991,26,-100950.00,-102182.00
991,27,-98010.00,-102182.00
991,28,-98188.00,-102182.00
991,29,-99016.00,-102182.00
992,0,-108909.00,-112475.00
992,1,-109979.00,-112475.00
992,2,-107537.00,-112475.00
992,3,-110885.00,-112475.00
992,4,-110469.00,-112475.00
992,5,-109727.00,-112475.00
992,6,-109061.00,-112475.00
992,7,-110357.00,-112475.00
992,8,-109007.00,-112475.00
992,9,-108297.00,-112475.00
992,10,-109277.00,-112475.00
992,11,-109567.00,-112475.00
992,12,-110609.00,-112475.00
992,13,-110191.00,-112475.00
992,14,-109765.00,-112475.00
992,15,-110587.00,-112475.00
992,16,-109467.00,-112475.00
992,17,-110525.00,-112475.00
992,18,-110157.00,-112475.00
992,19,-111331.00,-112475.00
992,20,-109895.00,-112475.00
992,21,-109675.00,-112475.00
992,22,-109579.00,-112475.00
992,23,-109561.00,-112475.00
992,24,-108775.00,-112475.00
992,25,-109435.00,-112475.00
992,26,-110259.00,-112475.00
992,27,-109889.00,-112475.00
992,28,-110005.00,-112475.00
992,29,-110753.00,-112475.00
993,0,-94860.00,-96038.00
993,1,-94934.00,-96038.00
993,2,-93946.00,-96038.00
993,3,-94954.00,-96038.00
993,4,-93938.00,-96038.00
993,5,-94054.00,-96038.00
993,6,-95462.00,-96038.00
993,7,-95826.00,-96038.00
993,8,-95328.00,-96038.00
993,9,-95844.00,-96038.00
993,10,-94454.00,-96038.00
993,11,-94348.00,-96038.00
993,12,-95294.00,-96038.00
993,13,-95422.00,-96038.00
993,14,-93358.00,-96038.00
993,15,-94248.00,-96038.00
993,16,-95348.00,-96038.00
993,17,-96008.00,-96038.00
993,18,-94326.00,-96038.00
993,19,-94940.00,-96038.00
993,20,-95524.00,-96038.00
993,21,-94524.00,-96038.00
993,22,-95676.00,-96038.00
993,23,-95258.00,-96038.00
993,24,-95246.00,-96038.00
993,25,-94136.00,-96038.00
993,26,-95738.00,-96038.00
993,27,-95134.00,-96038.00
993,28,-95408.00,-96038.00
993,29,-95276.00,-96038.00
994,0,-41640.00,-41790.00
994,1,-41878.00,-41790.00
994,2,-41724.00,-41790.00
994,3,-41922.00,-41790.00
994,4,-41752.00,-41790.00
994,5,-41700.00,-41790.00
994,6,-41662.00,-41790.00
994,7,-41494.00,-41790.00
994,8,-41752.00,-41790.00
994,9,-41946.00,-41790.00
994,10,-41976.00,-41790.00
994,11,-41696.00,-41790.00
994,12,-41080.00,-41790.00
994,13,-41492.00,-41790.00
994,14,-41798.00,-41790.00
994,15,-42060.00,-41790.00
994,16,-42120.00,-41790.00
994,17,-41808.00,-41790.00
994,18,-41544.00,-41790.00
994,19,-41950.00,-41790.00
994,20,-42030.00,-41790.00
994,21,-41750.00,-41790.00
994,22,-41766.00,-41790.00
994,23,-41900.00,-41790.00
994,24,-41778.00,-41790.00
994,25,-41864.00,-41790.00
994,26,-41430.00,-41790.00
994,27,-41742.00,-41790.00
994,28,-41556.00,-41790.00
994,29,-41398.00,-41790.00
995,0,-70941.00,-72707.00
995,1,-70333.00,-72707.00
995,2,-71833.00,-72707.00
995,3,-71085.00,-72707.00
995,4,-72031.00,-72707.00
995,5,-71671.00,-72707.00
995,6,-71635.00,-72707.00
995,7,-71269.00,-72707.00
995,8,-71337.00,-72707.00
995,9,-71357.00,-72707.00
995,10,-70913.00,-72707.00
995,11,-71835.00,-72707.00
995,12,-71265.00,-72707.00
995,13,-70785.00,-72707.00
995,14,-71303.00,-72707.00
995,15,-71543.00,-72707.00
995,16,-71543.00,-72707.00
995,17,-70649.00,-72707.00
995,18,-71367.00,-72707.00
995,19,-70765.00,-72707.00
995,20,-71079.00,-72707.00
995,21,-71249.00,-72707.00
995,22,-71413.00,-72707.00
995,23,-72515.00,-72707.00
995,24,-71619.00,-72707.00
995,25,-71899.00,-72707.00
995,26,-71557.00,-72707.00
995,27,-72393.00,-72707.00
995,28,-72323.00,-72707.00
995,29,-71977.00,-72707.00
996,0,-114427.00,-115145.00
996,1,-114463.00,-115145.00
996,2,-113413.00,-115145.00
996,3,-112991.00,-115145.00
996,4,-114039.00,-115145.00
996,5,-115247.00,-115145.00
996,6,-113961.00,-115145.00
996,7,-113047.00,-115145.00
996,8,-113605.00,-115145.00
996,9,-114881.00,-115145.00
996,10,-114797.00,-115145.00
996,11,-114005.00,-115145.00
996,12,-113239.00,-115145.00
996,13,-113707.00,-115145.00
996,14,-114389.00,-115145.00
996,15,-114073.00,-115145.00
996,16,-113149.00,-115145.00
996,17,-114471.00,-115145.00
996,18,-115089.00,-115145.00
996,19,-114327.00,-115145.00
996,20,-113185.00,-115145.00
996,21,-114345.00,-115145.00
996,22,-113851.00,-115145.00
996,23,-113845.00,-115145.00
996,24,-114025.00,-115145.00
996,25,-115101.00,-115145.00
996,26,-114081.00,-115145.00
996,27,-113785.00,-115145.00
996,28,-113781.00,-115145.00
996,29,-113625.00,-115145.00
997,0,-179940.00,-187096.00
997,1,-182628.00,-187096.00
997,2,-181576.00,-187096.00
997,3,-181206.00,-187096.00
997,4,-184034.00,-187096.00
997,5,-181040.00,-187096.00
997,6,-182394.00,-187096.00
997,7,-181576.00,-187096.00
997,8,-180914.00,-187096.00
997,9,-182346.00,-187096.00
997,10,-181050.00,-187096.00
997,11,-183238.00,-187096.00
997,12,-181454.00,-187096.00
997,13,-183324.00,-187096.00
997,14,-182392.00,-187096.00
997,15,-182184.00,-187096.00
997,16,-181414.00,-187096.00
997,17,-179036.00,-187096.00
997,18,-181630.00,-187096.00
997,19,-182104.00,-187096.00
997,20,-180556.00,-187096.00
997,21,-181602.00,-187096.00
997,22,-181172.00,-187096.00
997,23,-181498.00,-187096.00
997,24,-180846.00,-187096.00
997,25,-181962.00,-187096.00
997,26,-182280.00,-187096.00
997,27,-181694.00,-187096.00
997,28,-182570.00,-187096.00
997,29,-181070.00,-187096.00
998,0,-86616.00,-87290.00
998,1,-86464.00,-87290.00
998,2,-85006.00,-87290.00
998,3,-86740.00,-87290.00
998,4,-86624.00,-87290.00
998,5,-85438.00,-87290.00
998,6,-86228.00,-87290.00
998,7,-86280.00,-87290.00
998,8,-85646.00,-87290.00
998,9,-86238.00,-87290.00
998,10,-86168.00,-87290.00
998,11,-86764.00,-87290.00
998,12,-85892.00,-87290.00
998,13,-86620.00,-87290.00
998,14,-87284.00,-87290.00
998,15,-86552.00,-87290.00
998,16,-87438.00,-87290.00
998,17,-85702.00,-87290.00
998,18,-85610.00,-87290.00
998,19,-86224.00,-87290.00
998,20,-87190.00,-87290.00
998,21,-86908.00,-87290.00
998,22,-86392.00,-87290.00
998,23,-86240.00,-87290.00
998,24,-86702.00,-87290.00
998,25,-85878.00,-87290.00
998,26,-87068.00,-87290.00
998,27,-87222.00,-87290.00
998,28,-86834.00,-87290.00
998,29,-86324.00,-87290.00
999,0,-99283.00,-101785.00
999,1,-100241.00,-101785.00
999,2,-100435.00,-101785.00
999,3,-99393.00,-101785.00
999,4,-98559.00,-101785.00
999,5,-99253.00,-101785.00
999,6,-101027.00,-101785.00
999,7,-99597.00,-101785.00
999,8,-99567.00,-101785.00
999,9,-100517.00,-101785.00
999,10,-99251.00,-101785.00
999,11,-100871.00,-101785.00
999,12,-99699.00,-101785.00
999,13,-100567.00,-101785.00
999,14,-101213.00,-101785.00
999,15,-100475.00,-101785.00
999,16,-99555.00,-101785.00
999,17,-100001.00,-101785.00
999,18,-99931.00,-101785.00
999,19,-100535.00,-101785.00
999,20,-99501.00,-101785.00
999,21,-100019.00,-101785.00
999,22,-100185.00,-101785.00
999,23,-100177.00,-101785.00
999,24,-99611.00,-101785.00
999,25,-99493.00,-101785.00
999,26,-100605.00,-101785.00
999,27,-101379.00,-101785.00
999,28,-101455.00,-101785.00
999,29,-100327.00,-101785.00
